"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/30","キ马","PM10",NA,NA,NA,NA,NA,NA,NA,NA,22,19,16,18,24,32,NA,32,33,32,37,27,26,21,21,20
"2018/01/30","キ马","SO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.7,0.6,0.1,0.6,NA,2.5,2.6,1.6,0.9,0.7,0.6,0.3,0.3,0.4
"2018/01/31","キ马","CO",0.33,0.36,0.32,0.37,0.35,0.48,0.54,0.61,0.68,0.54,0.54,0.51,0.51,0.48,0.41,0.36,0.33,0.38,0.34,0.44,0.45,0.45,0.4,0.44
"2018/01/31","キ马","NOx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/31","キ马","O3",37,38,39,30,30,23,18,26,26,30,30,31,30,26,22,24,29,29,30,31,31,33,36,36
"2018/01/31","キ马","PM10",12,18,14,14,10,14,21,19,21,22,27,22,23,23,24,23,23,30,24,27,28,33,29,28
"2018/01/31","キ马","SO2",1.4,1.6,1.5,2,2.5,3.7,2.3,2.7,2.2,2,2,1.8,1.9,3.7,2.4,1.7,1.7,1.9,1.7,1.6,1.7,1.8,1.8,1.8
"2018/02/01","キ马","CO",0.51,0.61,0.57,0.51,0.57,0.64,0.72,0.91,0.97,0.87,0.89,0.91,0.88,0.73,0.8,0.75,0.81,1.01,0.93,0.76,0.64,0.55,0.42,0.37
"2018/02/01","キ马","NOx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,49,35,31,25,26,19,18
"2018/02/01","キ马","O3",33,27,30,34,31,28,26,17,14,16,12,10,10,18,11,14,14,7.8,16,18,26,24,31,34
"2018/02/01","キ马","PM10",34,37,37,28,32,39,51,60,60,77,88,98,95,94,96,97,103,90,73,56,52,48,38,26
"2018/02/01","キ马","SO2",1.2,2.5,2.1,2,2.2,2.5,2.7,2.9,3,3,3.4,3.4,3.5,2.7,2.8,2.2,2.5,2.3,2.7,2.8,1.7,1.8,1.6,1.1
"2018/02/02","キ马","CO",0.37,0.36,0.37,0.36,0.43,0.5,0.52,0.69,0.54,0.5,0.49,0.46,0.43,0.38,0.35,0.4,0.47,0.52,0.52,0.54,0.49,0.47,0.43,0.37
"2018/02/02","キ马","NOx",16,19,14,12,19,22,32,42,32,35,36,33,27,26,24,27,26,28,25,31,27,25,20,16
