"дщ┤┴","┤·п╕","┤·╢╡","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/25","оч╢щ","CO",0.31,0.26,0.26,0.25,0.23,0.25,0.3,0.42,0.47,0.41,0.36,0.35,0.34,0.33,0.32,0.33,0.36,0.47,0.47,0.5,0.49,0.41,0.33,0.28
"2018/01/25","оч╢щ","NOx",7.2,5.9,5.2,6.1,5.6,7,11,18,23,21,24,21,17,18,18,19,21,25,22,24,25,18,14,12
"2018/01/25","оч╢щ","O3",39,41,41,41,41,39,35,32,29,32,32,33,34,33,32,30,26,24,25,22,21,26,29,31
"2018/01/25","оч╢щ","PM10",25,17,17,15,16,14,15,10,18,18,23,12,6,8,4,11,17,23,28,34,39,39,25,23
"2018/01/25","оч╢щ","SO2",4.7,3.9,4.3,4.2,4.1,4.6,4.1,4.9,4.6,4.7,4.5,4.2,3.7,3.9,4.2,4.2,4.5,4.6,4.9,6,5.9,6.3,5.8,5.7
"2018/01/26","оч╢щ","CO",0.24,0.22,0.2,0.2,0.2,0.2,0.31,0.28,0.35,0.26,0.25,0.3,0.26,0.24,0.26,0.29,0.37,0.44,0.4,0.34,0.31,0.29,0.27,0.23
"2018/01/26","оч╢щ","NOx",9.3,6.7,6.3,6.2,7,7.6,8.1,14,22,20,17,18,11,12,15,16,21,25,21,15,13,11,10,8.1
"2018/01/26","оч╢щ","O3",34,35,35,34,33,31,33,27,23,23,25,27,35,34,31,29,25,23,23,27,29,30,32,33
"2018/01/26","оч╢щ","PM10",15,22,16,17,10,13,15,17,19,20,21,18,10,11,11,15,12,11,12,13,14,11,16,14
"2018/01/26","оч╢щ","SO2",4.3,3.8,4.6,5.7,5.4,4.1,3.2,3.2,3.6,3.8,3.6,3.9,4.2,4.9,4.9,5.1,5.1,6.5,7.3,6.8,6.2,5.9,6.1,6.4
"2018/01/27","оч╢щ","CO",0.21,0.19,0.19,0.18,0.18,0.19,0.23,0.31,0.35,0.35,0.32,0.32,0.3,0.29,0.3,0.38,0.43,0.58,0.48,0.56,0.51,0.53,0.64,0.69
"2018/01/27","оч╢щ","NOx",7.2,6.2,5.1,4.9,4.8,6.4,8.3,12,15,17,17,15,13,12,14,19,23,34,23,27,23,25,32,40
"2018/01/27","оч╢щ","O3",34,35,37,36,36,36,34,30,29,30,31,32,33,33,32,26,22,16,18,15,17,15,7.1,2.3
"2018/01/27","оч╢щ","PM10",13,8,7,7,6,4,5,13,14,24,34,40,30,12,14,13,15,14,20,22,16,12,6,11
"2018/01/27","оч╢щ","SO2",4.8,3.6,3.3,3.5,3,3,3,3.3,3.4,3.2,3.5,3.2,3.1,3,3.2,3.4,3.6,4.2,4.4,5,6.2,5.8,5,6.4
"2018/01/28","оч╢щ","CO",0.68,0.65,0.55,0.37,0.31,0.25,0.26,0.31,0.31,0.32,0.29,0.27,0.3,0.27,0.22,0.24,0.27,0.24,0.24,0.24,0.26,0.25,0.21,0.19
"2018/01/28","оч╢щ","NOx",41,44,35,21,16,9.7,10,15,19,18,18,12,18,14,13,15,14,13,15,13,13,13,7.6,5
"2018/01/28","оч╢щ","O3",1.9,1.7,3.7,11,14,25,21,15,13,15,17,20,17,22,25,22,25,26,23,23,22,22,31,35
"2018/01/28","оч╢щ","PM10",19,34,41,50,51,39,35,28,33,31,23,22,15,19,18,18,20,21,21,12,6,6,9,8
"2018/01/28","оч╢щ","SO2",3.9,5.3,5.2,5.1,4.4,3.7,3.6,4.4,4.6,4.9,4.3,3.3,3.2,3.1,3.2,3,2.7,2.7,2.7,2.8,2.9,2.8,3,2.7
"2018/01/29","оч╢щ","CO",0.16,0.16,0.17,0.17,0.18,0.23,0.27,0.35,0.4,0.39,0.46,0.49,0.51,0.44,0.45,0.48,0.57,0.74,0.78,0.71,0.61,0.61,0.54,0.52
"2018/01/29","оч╢щ","NOx",3.7,2,2.2,2.2,2.4,4.6,7.4,12,16,20,25,31,26,17,16,18,22,28,24,21,16,19,15,13
"2018/01/29","оч╢щ","O3",36,35,34,34,35,32,30,27,25,22,17,16,20,23,24,24,21,17,20,23,28,25,28,30
"2018/01/29","оч╢щ","PM10",9,6,9,10,12,12,5,10,13,19,12,10,9,18,19,16,12,11,18,21,22,22,20,27
"2018/01/29","оч╢щ","SO2",2.1,1.9,1.9,1.9,1.9,1.9,2,2.3,2.5,2.7,3.1,3.6,3.3,3.4,3.1,3.1,3.3,3.8,3.8,4,4.4,4.6,4.9,4.9
"2018/01/30","оч╢щ","CO",0.51,0.4,0.31,0.27,0.24,0.3,0.32,0.45,0.43,0.37,0.33,NA,0.37,0.37,0.34,0.38,0.42,0.56,0.53,0.5,0.39,0.39,0.39,0.37
"2018/01/30","оч╢щ","NOx",9.7,9.3,7.5,7.7,6.5,10,17,24,24,26,21,NA,27,29,27,31,34,37,31,29,19,17,18,14
"2018/01/30","оч╢щ","O3",33,33,36,36,37,32,27,21,24,25,NA,23,22,21,23,20,18,16,19,21,27,29,29,32
"2018/01/30","оч╢щ","PM10",21,29,24,28,21,22,17,13,13,15,NA,17,14,15,19,20,25,19,19,10,14,15,15,17
"2018/01/30","оч╢щ","SO2",2.7,2.2,2.7,2.6,2.7,2.5,2.8,3.4,4.5,4,3.6,NA,3.7,4.5,5.4,5.9,5.8,4.8,4.7,5,4.8,4.7,5.4,5.8
"2018/01/31","оч╢щ","CO",0.33,0.3,0.27,0.27,0.29,0.3,0.34,0.4,0.54,0.49,0.41,0.39,0.38,0.38,0.44,0.48,0.27,0.29,0.24,0.2,0.27,0.34,0.33,0.37
"2018/01/31","оч╢щ","NOx",9.7,7.5,5.9,7,8.3,13,17,16,25,26,22,20,21,23,28,30,14,12,10,8.8,8.7,9,6.3,6.4
"2018/01/31","оч╢щ","O3",36,38,40,38,34,31,28,31,24,24,29,30,29,26,21,18,33,36,37,36,36,37,41,42
"2018/01/31","оч╢щ","PM10",13,19,14,16,14,11,14,14,17,14,9,10,10,15,22,23,25,16,10,12,17,20,19,11
"2018/01/31","оч╢щ","SO2",3.6,3.1,2.5,3.5,3.5,4.5,3.1,3.7,3.1,3.1,4,3.9,3.9,5.8,5,4.2,3,2.8,2.7,2.7,2.4,2.6,2.4,2.2
